1,1
2,1
3,1
3,2
2,3
7,6
8,6
9,6
9,7
8,8
13,11
14,11
15,11
15,12
14,13
19,16
20,16
21,16
21,17
20,18
25,21
26,21
27,21
27,22
26,23
30,26
30,28
31,29
32,29
33,29
34,29
34,28
34,27
33,26
37,16
38,15
39,15
39,14
38,17
39,17
40,17
41,17
42,17
39,18
40,18
41,18
42,18
42,19
43,11
44,11
45,11
46,11
44,12
45,12
43,10
44,10
46,10
47,10
45,9
46,9
49,18
50,18
50,19
50,17
50,16
51,19
51,15
52,15
52,18
53,18
53,17
53,16
51,12
51,10
52,9
53,9
54,9
55,9
55,10
55,11
54,12
51,26
52,25
53,25
54,25
55,25
55,26
55,27
54,28
51,28
